rent,rooms,baths,sqrfoot,house,campusclose,pets,new
795,1,1,300,1,1,1,0
1255,2,1,800,0,1,0,0
1095,2,1,876,0,1,0,0
900,3,2,1263,1,0,1,0
1425,2,1,850,1,0,0,1
1350,1,1,657,0,1,1,1
2250,3,2,1700,0,0,1,1
1550,2,1,978,0,1,1,1
2095,4,1.5,1385,1,0,1,0
1875,3,1,1100,0,1,0,0
3350,5,2,1900,1,1,0,0
3495,5,5,2200,0,1,0,1
2995,5,5,1850,0,1,1,1
2350,4,2,1700,0,1,1,0
1295,2,1,864,0,1,0,0
1150,2,1,1050,0,1,0,0
1225,2,2,986,0,0,1,1
1175,2,1,800,0,0,1,1
1300,2,2,890,0,1,0,0
1250,2,1,1200,0,0,1,0
1325,2,1,988,0,1,0,0
1375,2,1.5,995,0,1,0,0
1080,2,1,864,0,1,0,0
1200,2,1,1050,0,0,0,0
1075,2,1,800,0,1,0,0
1300,2,1,900,1,1,1,0
1700,3,2,1200,1,1,0,0
1975,3,2.5,1309,1,0,0,1
1875,3,1,1200,1,1,0,0
1950,3,2,1300,0,0,0,0
2250,3,4,1700,0,1,0,1
2795,3,2.5,1551,0,0,1,1
1975,3,2,1467,0,0,1,0
2075,3,2.5,1600,1,0,0,0
1450,3,2,1611,1,0,1,0
1300,3,1,1705,1,1,0,0
1850,3,3,1646,1,1,1,0
2980,4,4,1550,0,1,1,1
1650,4,2.5,1600,0,0,1,0
1195,2,1,920,0,1,1,0
