"","abv","ibu","id","name","style","brewery_id","ounces"
"1373",8.5,100,2166,"Dream Crusher Double IPA","American Double / Imperial IPA",127,12
"1616",5,NA,570,"Hotter Than Helles Lager","Munich Helles Lager",141,12
"2252",8,NA,2534,"Disco Superfly","American IPA",65,24
"1579",4.9,NA,52,"Heinnieweisse Weissebier","Hefeweizen",556,12
"537",5,28,2427,"Suncaster Summer Wheat","American Pale Wheat Ale",105,12
"1562",4.8,NA,957,"Saranac Traditional Lager (2000)","American Pale Lager",299,12
"244",7,18,1972,"LuckenBock","Bock",257,16
"333",6,20,1791,"Hot Date Ale","Chile Beer",314,16
"2104",6.5,NA,1703,"Uncle John's Apricot Apple Cider","Cider",338,16
"1067",6.2,65,1048,"Outlaw IPA","American IPA",307,12
"1610",5,NA,783,"Carolina Blonde (2006)","American Blonde Ale",504,12
"465",5.5,25,1138,"Maduro Brown Ale","English Brown Ale",141,12
"2082",6.5,NA,2143,"3 Scrooges","Winter Warmer",124,16
"2336",9.8,NA,1136,"Tart Side of the Moon","Belgian Dark Ale",10,16
"915",4.5,50,2692,"Get Together","American IPA",0,16
"1520",4.7,NA,707,"Celsius Summer Ale (2012)","American Pale Wheat Ale",292,12
"584",5.4,30,864,"Roller Dam Red Ale","Irish Red Ale",365,16
"2307",8.8,NA,552,"Cavatica Stout","American Double / Imperial Stout",206,16
"628",5,32,1722,"Iron Horse Pale Ale","American Pale Ale (APA)",335,12
"1076",6.5,65,1444,"Dale's Pale Ale","American Pale Ale (APA)",166,12
"1448",4.2,NA,2236,"Monkadelic","American Pale Ale (APA)",189,12
"1136",6.5,69,1697,"Be Hoppy IPA","American IPA",339,16
"742",5.5,37,1793,"Thunder Ann","American Pale Ale (APA)",312,12
"1063",6.2,65,579,"Big Sky IPA (2012)","American IPA",336,12
"1597",5,NA,1131,"Back East Ale","American Amber / Red Ale",235,12
"462",5.3,25,169,"Horny Toad Cerveza (2013)","American Blonde Ale",182,16
"1736",5.2,NA,476,"Grand Canyon American Pilsner","American Pilsner",536,12
"1146",5.7,70,434,"Sockeye Red IPA","American IPA",223,12
"146",5.8,15,78,"Boont Amber Ale (2011)","American Amber / Red Ale",171,12
"913",6,49,1906,"Driftwood Ale","Extra Special / Strong Bitter (ESB)",276,12
"1385",9.5,104,1762,"Hemlock Double IPA","American Double / Imperial IPA",220,12
"2142",6.8,NA,543,"Bacon Brown Ale","American Brown Ale",522,16
"221",4.9,18,1123,"Helles Golden Lager","Munich Helles Lager",371,12
"2253",8,NA,1859,"Old Chub NITRO","Scotch Ale / Wee Heavy",166,16
"940",7.5,51,1080,"Hop Happy","American IPA",284,16
"86",5.2,12,2622,"Damascene Apricot Sour","Fruit / Vegetable Beer",17,16
"1450",4.2,NA,1527,"Brünette","Euro Dark Lager",390,16
"1788",5.4,NA,826,"Mystical Stout","Irish Dry Stout",499,16
"696",5.5,35,2568,"Take Two Pils","German Pilsener",49,12
"545",5.5,28,665,"Toasted Lager","Vienna Lager",489,12
"1626",5,NA,2004,"Hop Syndrome","American Pale Lager",81,12
"1075",6.5,65,1487,"Falling Down Brown Ale","American Brown Ale",301,16
"99",5.7,13,1520,"Barney Flats Oatmeal Stout","Oatmeal Stout",171,12
"1246",7.5,77,1420,"Grapefruit Jungle (GFJ)","American IPA",25,16
"1832",5.5,NA,2278,"Mountain Crest","American Pale Lager",134,12
"1057",6.1,64,648,"Fairweather IPA","American IPA",493,12
"983",6.3,55,2089,"Trail Head","American Pale Ale (APA)",224,12
"166",5.2,16,2374,"Weisse Versa (2012)","Hefeweizen",125,12
"1002",5.8,60,2297,"Devil's Harvest Extra Pale Ale","American Pale Ale (APA)",133,12
"1128",7,68,861,"Cane and Ebel","American Strong Ale",74,12
"1458",4.3,NA,1152,"Galena Golden","American Blonde Ale",309,12
"1777",5.4,NA,143,"Grand Canyon Sunset Amber Ale","American Amber / Red Ale",536,12
"731",5.7,36,2425,"Brass Knuckle Pale Ale","American Pale Ale (APA)",105,12
"1202",8,72,935,"Fascist Pig Ale","American Amber / Red Ale",256,16
"1592",5,NA,1436,"Pub Beer","American Pale Lager",408,12
"2279",8.2,NA,712,"Liquid Breadfruit","Fruit / Vegetable Beer",375,12
"2224",7.5,NA,891,"Overbite IPA","American IPA",301,16
"47",4.9,10,1927,"Beach Blonde","American Blonde Ale",267,16
"209",4.5,18,33,"Bikini Blonde Lager","Munich Helles Lager",375,12
"633",5.3,32,1300,"Gateway Kolsch Style Ale","Kölsch",433,12
"197",6.2,17,1620,"Pumpkin Beast","Pumpkin Ale",360,12
"220",4.8,18,2347,"Hunny Do Wheat","American Pale Wheat Ale",142,12
"2183",7,NA,934,"The Deuce","American Brown Ale",25,16
"689",5.3,35,1167,"Mama's Little Yella Pils","Czech Pilsener",166,19.2
"376",5,22,407,"OB-1 Organic Ale","English Brown Ale",191,12
"1697",5.1,NA,1022,"Quaff India Style Session Ale","American IPA",201,16
"962",5.4,55,1966,"Wagon Party","California Common / Steam Beer",258,12
"1516",4.6,NA,708,"Vienna Lager","Vienna Lager",386,16
"1140",6.9,69,1512,"Worthy IPA (2013)","American IPA",199,12
"1170",7,70,797,"Brew Free! or Die IPA (2008)","American IPA",368,12
"663",4.2,35,1439,"Boat Beer","American IPA",222,12
"1496",4.5,NA,1589,"PONTO S.I.P.A.","American IPA",370,16
"1404",5.9,135,1676,"Troopers Alley IPA","American IPA",344,12
"1048",6.4,62,422,"Bengali Tiger (2011)","American IPA",46,16
"185",4.9,17,92,"Colorado Kölsch","Kölsch",119,12
"1834",5.5,NA,2274,"Boxer Ice","American Adjunct Lager",134,12
"1104",7,65,10,"Brew Free! or Die IPA","American IPA",368,12
"56",5.6,10,108,"White Rascal","Witbier",37,12
"109",5.9,14,130,"Morning Wood Wheat (Current)","American Pale Wheat Ale",135,12
"2258",8,NA,1373,"Black Raspberry Nectar","Mead",421,16
